PBid,PAsk,Type,Strike,dtExpiry,dtTrade,Spot
1087.3,1091.1,C,200.0,2011-01-19,2011-01-24,1290.59
987.3,991.0,C,300.0,2011-01-19,2011-01-24,1290.59
937.3,941.2,C,350.0,2011-01-19,2011-01-24,1290.59
887.3,891.1,C,400.0,2011-01-19,2011-01-24,1290.59
837.3,841.2,C,450.0,2011-01-19,2011-01-24,1290.59
787.4,791.1,C,500.0,2011-01-19,2011-01-24,1290.59
737.4,741.1,C,550.0,2011-01-19,2011-01-24,1290.59
687.4,691.1,C,600.0,2011-01-19,2011-01-24,1290.59
637.4,641.2,C,650.0,2011-01-19,2011-01-24,1290.59
612.4,616.3,C,675.0,2011-01-19,2011-01-24,1290.59
587.4,591.3,C,700.0,2011-01-19,2011-01-24,1290.59
562.4,566.3,C,725.0,2011-01-19,2011-01-24,1290.59
537.4,541.3,C,750.0,2011-01-19,2011-01-24,1290.59
512.4,516.2,C,775.0,2011-01-19,2011-01-24,1290.59
507.4,511.3,C,780.0,2011-01-19,2011-01-24,1290.59
502.4,506.2,C,785.0,2011-01-19,2011-01-24,1290.59
497.4,501.2,C,790.0,2011-01-19,2011-01-24,1290.59
492.4,496.2,C,795.0,2011-01-19,2011-01-24,1290.59
487.4,491.3,C,800.0,2011-01-19,2011-01-24,1290.59
482.5,486.3,C,805.0,2011-01-19,2011-01-24,1290.59
477.5,481.2,C,810.0,2011-01-19,2011-01-24,1290.59
472.5,476.2,C,815.0,2011-01-19,2011-01-24,1290.59
467.5,471.2,C,820.0,2011-01-19,2011-01-24,1290.59
462.5,466.2,C,825.0,2011-01-19,2011-01-24,1290.59
457.5,461.3,C,830.0,2011-01-19,2011-01-24,1290.59
452.5,456.3,C,835.0,2011-01-19,2011-01-24,1290.59
447.5,451.3,C,840.0,2011-01-19,2011-01-24,1290.59
442.5,446.3,C,845.0,2011-01-19,2011-01-24,1290.59
437.5,441.3,C,850.0,2011-01-19,2011-01-24,1290.59
432.5,436.2,C,855.0,2011-01-19,2011-01-24,1290.59
427.5,431.2,C,860.0,2011-01-19,2011-01-24,1290.59
422.5,426.2,C,865.0,2011-01-19,2011-01-24,1290.59
417.5,421.3,C,870.0,2011-01-19,2011-01-24,1290.59
412.5,416.3,C,875.0,2011-01-19,2011-01-24,1290.59
407.5,411.3,C,880.0,2011-01-19,2011-01-24,1290.59
402.5,406.3,C,885.0,2011-01-19,2011-01-24,1290.59
397.5,401.3,C,890.0,2011-01-19,2011-01-24,1290.59
392.5,396.4,C,895.0,2011-01-19,2011-01-24,1290.59
