"Series Description","Rate paid by fixed-rate payer on an interest rate swap with    maturity of one year.","Rate paid by fixed-rate payer on an interest rate swap with    maturity of two year.","Rate paid by fixed-rate payer on an interest rate swap with    maturity of three year.","Rate paid by fixed-rate payer on an interest rate swap with    maturity of four year.","Rate paid by fixed-rate payer on an interest rate swap with    maturity of five year.","Rate paid by fixed-rate payer on an interest rate swap with    maturity of seven year.","Rate paid by fixed-rate payer on an interest rate swap with    maturity of ten year.","Rate paid by fixed-rate payer on an interest rate swap with    maturity of thirty year.","U.S. -- SHORT-TERM INTEREST RATES: DAILY 1-MONTH EURO-DOLLAR DEPOSIT RATE ","U.S. -- SHORT-TERM INTEREST RATES: DAILY 3-MONTH EURO-DOLLAR DEPOSIT RATE ","U.S. -- SHORT-TERM INTEREST RATES: DAILY 6-MONTH EURO-DOLLAR DEPOSIT RATE "
"Unit:","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year"
"Multiplier:","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unique Identifier: ","H15/H15/RIFLDIY01_N.B","H15/H15/RIFLDIY02_N.B","H15/H15/RIFLDIY03_N.B","H15/H15/RIFLDIY04_N.B","H15/H15/RIFLDIY05_N.B","H15/H15/RIFLDIY07_N.B","H15/H15/RIFLDIY10_N.B","H15/H15/RIFLDIY30_N.B","H15/H15/RILSPDEPM01_N.B","H15/H15/RILSPDEPM03_N.B","H15/H15/RILSPDEPM06_N.B"
"Time Period","RIFLDIY01_N.B","RIFLDIY02_N.B","RIFLDIY03_N.B","RIFLDIY04_N.B","RIFLDIY05_N.B","RIFLDIY07_N.B","RIFLDIY10_N.B","RIFLDIY30_N.B","RILSPDEPM01_N.B","RILSPDEPM03_N.B","RILSPDEPM06_N.B"
2000-01-03,,,,,,,,,5.69,5.94,6.06
2000-01-04,,,,,,,,,5.69,5.94,6.16
2000-01-05,,,,,,,,,5.69,5.94,6.13
2000-01-06,,,,,,,,,5.69,5.94,6.13
2000-01-07,,,,,,,,,5.69,5.94,6.16
2000-01-10,,,,,,,,,5.69,5.94,6.13
2000-01-11,,,,,,,,,5.69,5.94,6.16
2000-01-12,,,,,,,,,5.69,5.94,6.16
2000-01-13,,,,,,,,,5.69,5.94,6.16
2000-01-14,,,,,,,,,5.69,5.94,6.13
2000-01-17,,,,,,,,,ND,ND,ND
2000-01-18,,,,,,,,,5.69,5.94,6.13
2000-01-19,,,,,,,,,5.69,5.94,6.13
2000-01-20,,,,,,,,,5.69,5.94,6.13
2000-01-21,,,,,,,,,5.72,5.94,6.16
2000-01-24,,,,,,,,,5.75,5.94,6.16
2000-01-25,,,,,,,,,5.75,5.94,6.16
2000-01-26,,,,,,,,,5.75,5.94,6.16
2000-01-27,,,,,,,,,5.69,5.94,6.13
2000-01-28,,,,,,,,,5.81,5.97,6.19
2000-01-31,,,,,,,,,5.84,6.03,6.22
2000-02-01,,,,,,,,,5.84,6.03,6.25
2000-02-02,,,,,,,,,5.88,6.06,6.25
2000-02-03,,,,,,,,,5.84,6.03,6.25
2000-02-04,,,,,,,,,5.81,6.00,6.25
2000-02-07,,,,,,,,,5.84,6.03,6.28
2000-02-08,,,,,,,,,5.81,6.00,6.28
2000-02-09,,,,,,,,,5.81,6.00,6.25
2000-02-10,,,,,,,,,5.78,6.00,6.25
2000-02-11,,,,,,,,,5.78,6.00,6.25
2000-02-14,,,,,,,,,5.78,6.00,6.25
2000-02-15,,,,,,,,,5.78,6.00,6.22
2000-02-16,,,,,,,,,5.78,5.97,6.25
2000-02-17,,,,,,,,,5.78,6.00,6.25
2000-02-18,,,,,,,,,5.78,6.03,6.31
2000-02-21,,,,,,,,,ND,ND,ND
2000-02-22,,,,,,,,,5.78,6.03,6.31
2000-02-23,,,,,,,,,5.78,6.03,6.28
2000-02-24,,,,,,,,,5.78,6.00,6.28
2000-02-25,,,,,,,,,5.81,6.03,6.28
2000-02-28,,,,,,,,,5.81,6.06,6.25
2000-02-29,,,,,,,,,5.78,6.06,6.28
2000-03-01,,,,,,,,,5.81,6.06,6.28
2000-03-02,,,,,,,,,5.84,6.06,6.28
2000-03-03,,,,,,,,,5.84,6.06,6.25
2000-03-06,,,,,,,,,5.81,6.00,6.22
2000-03-07,,,,,,,,,5.88,6.03,6.25
2000-03-08,,,,,,,,,5.88,6.06,6.28
2000-03-09,,,,,,,,,5.94,6.09,6.28
2000-03-10,,,,,,,,,5.78,6.06,6.28
2000-03-13,,,,,,,,,5.94,6.06,6.28
2000-03-14,,,,,,,,,5.97,6.09,6.31
2000-03-15,,,,,,,,,5.97,6.09,6.31
2000-03-16,,,,,,,,,6.00,6.13,6.31
2000-03-17,,,,,,,,,6.03,6.16,6.34
2000-03-20,,,,,,,,,6.06,6.16,6.38
2000-03-21,,,,,,,,,6.06,6.19,6.38
2000-03-22,,,,,,,,,6.06,6.19,6.38
2000-03-23,,,,,,,,,6.06,6.16,6.38
2000-03-24,,,,,,,,,6.06,6.19,6.41
2000-03-27,,,,,,,,,6.06,6.22,6.44
2000-03-28,,,,,,,,,6.06,6.22,6.47
2000-03-29,,,,,,,,,6.06,6.22,6.47
2000-03-30,,,,,,,,,6.06,6.22,6.50
2000-03-31,,,,,,,,,6.06,6.22,6.47
2000-04-03,,,,,,,,,6.06,6.22,6.47
2000-04-04,,,,,,,,,6.06,6.22,6.47
2000-04-05,,,,,,,,,6.06,6.19,6.44
2000-04-06,,,,,,,,,6.06,6.22,6.44
2000-04-07,,,,,,,,,6.03,6.22,6.47
2000-04-10,,,,,,,,,6.06,6.22,6.47
2000-04-11,,,,,,,,,6.03,6.22,6.44
