Spec,Last Sale,Net,Bid,Ask,Vol,Open Int,Type,Strike,dtExpiry,dtTrade,Mid,QuickDelta,IVBid,IVAsk,IR,IDIV,ATMVol,Fwd,T
11 Mar 1290.00 (SPX1119C1290-E),27.35,0.85,26.0,29.8,4293,13210,C,1290.0,2011-03-19,2011-01-24,27.9,0.487548673261,0.137302468739,0.156543468272,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1295.00 (SPX1119C1295-E),24.8,0.5,23.3,27.0,4,2193,C,1295.0,2011-03-19,2011-01-24,25.15,0.46071006284,0.135299793657,0.15408588183,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1300.00 (SPX1119C1300-E),22.0,1.5,20.6,23.0,3218,76557,C,1300.0,2011-03-19,2011-01-24,21.8,0.434151555917,0.13252042462,0.144813528746,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1305.00 (SPX1119C1305-E),18.4,-0.8,18.6,21.5,3,411,C,1305.0,2011-03-19,2011-01-24,20.05,0.407987211671,0.132551637813,0.147599328296,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1310.00 (SPX1119C1310-E),17.1,0.0,16.2,19.2,0,1604,C,1310.0,2011-03-19,2011-01-24,17.7,0.382324595536,0.129690659729,0.145573072018,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1315.00 (SPX1119C1315-E),14.75,0.5,14.0,17.0,4,2671,C,1315.0,2011-03-19,2011-01-24,15.5,0.357263568231,0.126994299034,0.143312039599,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1320.00 (SPX1119C1320-E),13.4,0.55,12.0,15.0,11,1714,C,1320.0,2011-03-19,2011-01-24,13.5,0.33289526065,0.124453801809,0.141340499923,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1325.00 (SPX1119C1325-E),11.3,0.4,10.3,12.0,856,21172,C,1325.0,2011-03-19,2011-01-24,11.15,0.309301247987,0.122674256044,0.132728265747,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1330.00 (SPX1119C1330-E),10.0,0.0,9.3,11.2,1,3713,C,1330.0,2011-03-19,2011-01-24,10.25,0.286552930494,0.124299403131,0.135968691851,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1335.00 (SPX1119C1335-E),0.0,0.0,7.8,9.7,0,0,C,1335.0,2011-03-19,2011-01-24,8.75,0.264711122497,0.12196545335,0.134326810561,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1340.00 (SPX1119C1340-E),7.0,-0.1,6.5,7.5,3,5866,C,1340.0,2011-03-19,2011-01-24,7.0,0.243825845802,0.119908165325,0.126967138537,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1345.00 (SPX1119C1345-E),6.0,0.0,5.3,7.2,0,1,C,1345.0,2011-03-19,2011-01-24,6.25,0.223936318702,0.117447484892,0.131691175467,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1350.00 (SPX1119C1350-E),5.2,0.25,5.3,5.6,11594,28837,C,1350.0,2011-03-19,2011-01-24,5.45,0.205071127461,0.123767548765,0.126173496524,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1230.00 (SPX1119O1230-E),14.2,-2.5,12.0,14.9,4,15812,P,1230.0,2011-03-19,2011-01-24,13.45,0.787843216217,0.171810489272,0.190467333523,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1235.00 (SPX1119O1235-E),17.3,1.1,12.8,15.8,1,23594,P,1235.0,2011-03-19,2011-01-24,14.3,0.766769229996,0.168480451748,0.187195368946,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
11 Mar 1240.00 (SPX1119O1240-E),15.2,-3.8,13.8,16.8,2,38665,P,1240.0,2011-03-19,2011-01-24,15.3,0.744673885606,0.166004156483,0.184153611239,0.00331095362305,0.0185067754503,0.14915649822,1287.69182039,0.147945205479
