SPX (S&P 500 INDEX),1290.59,+7.24,
Jan 24 2011 @ 14:03 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
11 Jan 1075.00 (SPXW1128A1075-E),0.0,0.0,215.30,217.00,0,0,11 Jan 1075.00 (SPXW1128M1075-E),0.05,-0.10,0.05,0.10,10,15535,
11 Jan 1100.00 (SPXW1128A1100-E),0.0,0.0,190.60,191.80,0,0,11 Jan 1100.00 (SPXW1128M1100-E),0.10,-0.10,0.10,0.15,688,5448,
11 Jan 1125.00 (SPXW1128A1125-E),0.0,0.0,165.30,166.60,0,0,11 Jan 1125.00 (SPXW1128M1125-E),0.15,-0.15,0.10,0.15,2588,5562,
11 Jan 1150.00 (SPXW1128A1150-E),0.0,0.0,140.60,141.90,0,0,11 Jan 1150.00 (SPXW1128M1150-E),0.25,-0.20,0.20,0.25,233,2628,
11 Jan 1175.00 (SPXW1128A1175-E),0.0,0.0,115.70,117.00,0,0,11 Jan 1175.00 (SPXW1128M1175-E),0.35,-0.25,0.25,0.40,1138,1829,
11 Jan 1200.00 (SPXW1128A1200-E),0.0,0.0,90.70,92.20,0,0,11 Jan 1200.00 (SPXW1128M1200-E),0.45,-0.40,0.40,0.50,1446,13455,
11 Jan 1225.00 (SPXW1128A1225-E),0.0,0.0,65.80,67.50,0,0,11 Jan 1225.00 (SPXW1128M1225-E),0.70,-0.60,0.60,0.80,852,4520,
11 Jan 1230.00 (SPXW1128A1230-E),60.65,+5.65,60.60,62.50,2,4,11 Jan 1230.00 (SPXW1128M1230-E),0.80,-0.70,0.70,0.85,167,417,
11 Jan 1235.00 (SPXW1128A1235-E),0.0,0.0,55.90,57.60,0,0,11 Jan 1235.00 (SPXW1128M1235-E),0.90,-0.75,0.80,0.90,434,770,
11 Jan 1240.00 (SPXW1128A1240-E),0.0,0.0,51.00,52.70,0,0,11 Jan 1240.00 (SPXW1128M1240-E),0.95,-1.10,0.85,1.00,2264,1839,
11 Jan 1245.00 (SPXW1128A1245-E),45.00,0.0,46.10,47.80,0,2,11 Jan 1245.00 (SPXW1128M1245-E),1.05,-1.20,1.00,1.10,1728,539,
11 Jan 1250.00 (SPXW1128A1250-E),40.75,+0.25,41.30,42.90,8,2,11 Jan 1250.00 (SPXW1128M1250-E),1.20,-1.35,1.10,1.25,577,4472,
11 Jan 1255.00 (SPXW1128A1255-E),36.00,+3.10,36.50,38.10,21,24,11 Jan 1255.00 (SPXW1128M1255-E),1.40,-1.50,1.30,1.45,511,515,
11 Jan 1260.00 (SPXW1128A1260-E),29.05,+0.75,31.70,33.30,25,22,11 Jan 1260.00 (SPXW1128M1260-E),1.80,-1.70,1.50,1.70,979,1653,
11 Jan 1265.00 (SPXW1128A1265-E),25.80,0.0,27.30,28.50,1,0,11 Jan 1265.00 (SPXW1128M1265-E),2.15,-2.25,1.80,2.05,349,2253,
11 Jan 1270.00 (SPXW1128A1270-E),19.80,-0.15,22.80,24.10,25,32,11 Jan 1270.00 (SPXW1128M1270-E),2.40,-2.90,2.40,2.50,358,1184,
11 Jan 1275.00 (SPXW1128A1275-E),17.25,+2.15,18.50,19.70,12,171,11 Jan 1275.00 (SPXW1128M1275-E),3.30,-3.30,2.90,3.20,509,310,
11 Jan 1280.00 (SPXW1128A1280-E),14.25,+2.45,14.50,15.60,52,1066,11 Jan 1280.00 (SPXW1128M1280-E),4.00,-4.45,3.80,4.10,79,2180,
11 Jan 1285.00 (SPXW1128A1285-E),10.30,+1.85,10.80,11.90,114,1269,11 Jan 1285.00 (SPXW1128M1285-E),6.20,-3.80,5.00,5.60,135,390,
11 Jan 1290.00 (SPXW1128A1290-E),7.70,+1.70,7.90,8.50,104,482,11 Jan 1290.00 (SPXW1128M1290-E),7.40,-5.60,6.70,7.30,54,2066,
11 Jan 1295.00 (SPXW1128A1295-E),5.20,+1.30,5.20,5.80,72,1257,11 Jan 1295.00 (SPXW1128M1295-E),14.35,0.0,8.90,9.90,0,26,
11 Jan 1300.00 (SPXW1128A1300-E),3.10,+0.30,3.20,3.60,486,364,11 Jan 1300.00 (SPXW1128M1300-E),12.80,-5.90,11.80,12.80,20,67,
11 Jan 1305.00 (SPXW1128A1305-E),1.85,+0.30,1.80,2.05,190,2387,11 Jan 1305.00 (SPXW1128M1305-E),0.0,0.0,15.40,16.70,0,0,
11 Jan 1310.00 (SPXW1128A1310-E),0.90,-0.10,0.95,1.15,810,546,11 Jan 1310.00 (SPXW1128M1310-E),32.00,0.0,19.40,20.80,0,2,
11 Jan 1315.00 (SPXW1128A1315-E),0.50,-0.10,0.40,0.55,1163,1028,11 Jan 1315.00 (SPXW1128M1315-E),0.0,0.0,23.80,25.00,0,0,
11 Jan 1320.00 (SPXW1128A1320-E),0.30,-0.05,0.25,0.30,1843,1475,11 Jan 1320.00 (SPXW1128M1320-E),30.90,-4.65,28.60,29.80,2,2,
11 Jan 1325.00 (SPXW1128A1325-E),0.15,-0.05,0.10,0.20,554,5671,11 Jan 1325.00 (SPXW1128M1325-E),0.0,0.0,33.40,34.60,0,0,
11 Jan 1330.00 (SPXW1128A1330-E),0.15,0.0,0.10,0.15,1182,1720,11 Jan 1330.00 (SPXW1128M1330-E),0.0,0.0,38.40,39.60,0,0,
11 Jan 1335.00 (SPXW1128A1335-E),0.10,-0.05,0.05,0.15,83,4693,11 Jan 1335.00 (SPXW1128M1335-E),0.0,0.0,43.20,44.50,0,0,
11 Jan 1340.00 (SPXW1128A1340-E),0.10,0.0,0.05,0.10,0,518,11 Jan 1340.00 (SPXW1128M1340-E),0.0,0.0,48.20,49.80,0,0,
11 Jan 1345.00 (SPXW1128A1345-E),0.10,0.0,0.05,0.10,80,439,11 Jan 1345.00 (SPXW1128M1345-E),0.0,0.0,53.50,54.70,0,0,
11 Jan 1350.00 (SPXW1128A1350-E),0.05,0.0,0.0,0.05,34,3154,11 Jan 1350.00 (SPXW1128M1350-E),0.0,0.0,58.50,59.70,0,0,
11 Jan 1375.00 (SPXW1128A1375-E),0.05,0.0,0.0,0.05,1,1321,11 Jan 1375.00 (SPXW1128M1375-E),0.0,0.0,83.40,84.70,0,0,
11 Jan 1400.00 (SPXW1128A1400-E),0.05,0.0,0.0,0.05,0,198,11 Jan 1400.00 (SPXW1128M1400-E),0.0,0.0,108.20,109.50,0,0,
11 Feb 200.00 (SPX1119B200-E),1055.80,0.0,1087.30,1091.10,0,21,11 Feb 200.00 (SPX1119N200-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 300.00 (SPX1119B300-E),0.0,0.0,987.30,991.00,0,0,11 Feb 300.00 (SPX1119N300-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 350.00 (SPX1119B350-E),0.0,0.0,937.30,941.20,0,0,11 Feb 350.00 (SPX1119N350-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 400.00 (SPX1119B400-E),0.0,0.0,887.30,891.10,0,0,11 Feb 400.00 (SPX1119N400-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 450.00 (SPX1119B450-E),0.0,0.0,837.30,841.20,0,0,11 Feb 450.00 (SPX1119N450-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 500.00 (SPX1119B500-E),774.00,0.0,787.40,791.10,0,5000,11 Feb 500.00 (SPX1119N500-E),0.05,0.0,0.0,0.05,0,5000,
11 Feb 550.00 (SPX1119B550-E),0.0,0.0,737.40,741.10,0,0,11 Feb 550.00 (SPX1119N550-E),0.05,0.0,0.0,0.05,0,13,
11 Feb 600.00 (SPX1119B600-E),0.0,0.0,687.40,691.10,0,0,11 Feb 600.00 (SPX1119N600-E),0.10,0.0,0.0,0.05,0,147,
11 Feb 650.00 (SPX1119B650-E),0.0,0.0,637.40,641.20,0,0,11 Feb 650.00 (SPX1119N650-E),0.05,0.0,0.0,0.05,0,8,
11 Feb 675.00 (SPX1119B675-E),0.0,0.0,612.40,616.30,0,0,11 Feb 675.00 (SPX1119N675-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 700.00 (SPX1119B700-E),0.0,0.0,587.40,591.30,0,0,11 Feb 700.00 (SPX1119N700-E),0.05,0.0,0.0,0.05,0,13355,
11 Feb 725.00 (SPX1119B725-E),0.0,0.0,562.40,566.30,0,0,11 Feb 725.00 (SPX1119N725-E),0.50,0.0,0.0,0.05,0,465,
11 Feb 750.00 (SPX1119B750-E),0.0,0.0,537.40,541.30,0,0,11 Feb 750.00 (SPX1119N750-E),0.10,0.0,0.0,0.05,0,21770,
11 Feb 775.00 (SPX1119B775-E),0.0,0.0,512.40,516.20,0,0,11 Feb 775.00 (SPX1119N775-E),0.05,0.0,0.0,0.05,0,1283,
11 Feb 780.00 (SPX1119B780-E),0.0,0.0,507.40,511.30,0,0,11 Feb 780.00 (SPX1119N780-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 785.00 (SPX1119B785-E),0.0,0.0,502.40,506.20,0,0,11 Feb 785.00 (SPX1119N785-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 790.00 (SPX1119B790-E),0.0,0.0,497.40,501.20,0,0,11 Feb 790.00 (SPX1119N790-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 795.00 (SPX1119B795-E),0.0,0.0,492.40,496.20,0,0,11 Feb 795.00 (SPX1119N795-E),0.0,0.0,0.0,0.05,0,0,
11 Feb 800.00 (SPX1119B800-E),482.00,0.0,487.40,491.30,0,11,11 Feb 800.00 (SPX1119N800-E),0.05,0.0,0.0,0.05,0,19227,
